Classifier Name,Dataset,Balance,Num Training Samples,Num Non-Healthy Companies,TP,TN,FP,FN,F1 Score,AUC ROC
Naïve Bayes_var_smoothing_0.1,Train,Unbalanced,8037,186,18,7668,183,168,0.10972568578553617,0.5367325304769066
Naïve Bayes_var_smoothing_0.1,Test,Unbalanced,2679,62,10,2556,61,52,0.07518796992481204,0.5689905949930357
Naïve Bayes_var_smoothing_0.1,Train,Unbalanced,8037,186,21,7666,185,165,0.1070559610705596,0.5446696742966788
Naïve Bayes_var_smoothing_0.1,Test,Unbalanced,2679,62,7,2558,59,55,0.07142857142857142,0.5451791635337186
Naïve Bayes_var_smoothing_0.1,Train,Unbalanced,8037,186,22,7670,181,164,0.08955223880597014,0.5476125909582096
Naïve Bayes_var_smoothing_0.1,Test,Unbalanced,2679,62,6,2554,63,56,0.12121212121212123,0.5363504135491267
Naïve Bayes_var_smoothing_0.1,Train,Unbalanced,8037,186,23,7668,183,163,0.09278350515463918,0.5501733906919603
Naïve Bayes_var_smoothing_0.1,Test,Unbalanced,2679,62,5,2556,61,57,0.1515151515151515,0.5286680143478742
Naïve Bayes_var_smoothing_0.01,Train,Unbalanced,8037,186,43,7450,401,143,0.13099041533546327,0.590053249842839
Naïve Bayes_var_smoothing_0.01,Test,Unbalanced,2679,62,15,2475,142,47,0.12440191387559808,0.5938374400631109
Naïve Bayes_var_smoothing_0.01,Train,Unbalanced,8037,186,47,7457,394,139,0.140405616224649,0.601251741097292
Naïve Bayes_var_smoothing_0.01,Test,Unbalanced,2679,62,11,2468,149,51,0.11518324607329844,0.5602419662997522
Naïve Bayes_var_smoothing_0.01,Train,Unbalanced,8037,186,38,7430,421,148,0.13063763608087092,0.5753386665351856
Naïve Bayes_var_smoothing_0.01,Test,Unbalanced,2679,62,20,2495,122,42,0.1320754716981132,0.6379811899860712
Naïve Bayes_var_smoothing_0.01,Train,Unbalanced,8037,186,46,7438,413,140,0.13015873015873017,0.5973535321163115
Naïve Bayes_var_smoothing_0.01,Test,Unbalanced,2679,62,12,2487,130,50,0.15525114155251143,0.5719365932426935
Support Vector Machines_rbf,Train,Unbalanced,8037,186,0,7851,0,186,0.0,0.5
Support Vector Machines_rbf,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Support Vector Machines_rbf,Train,Unbalanced,8037,186,0,7851,0,186,0.0,0.5
Support Vector Machines_rbf,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Support Vector Machines_rbf,Train,Unbalanced,8037,186,0,7851,0,186,0.0,0.5
Support Vector Machines_rbf,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Support Vector Machines_rbf,Train,Unbalanced,8037,186,0,7851,0,186,0.0,0.5
Support Vector Machines_rbf,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Support Vector Machines_linear,Train,Unbalanced,8037,186,0,7851,0,186,0.0,0.5
Support Vector Machines_linear,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Support Vector Machines_linear,Train,Unbalanced,8037,186,0,7851,0,186,0.0,0.5
Support Vector Machines_linear,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Support Vector Machines_linear,Train,Unbalanced,8037,186,0,7851,0,186,0.0,0.5
Support Vector Machines_linear,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Support Vector Machines_linear,Train,Unbalanced,8037,186,0,7851,0,186,0.0,0.5
Support Vector Machines_linear,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Support Vector Machines_poly_degree_2,Train,Unbalanced,8037,186,0,7851,0,186,0.0,0.5
Support Vector Machines_poly_degree_2,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Support Vector Machines_poly_degree_2,Train,Unbalanced,8037,186,0,7851,0,186,0.0,0.5
Support Vector Machines_poly_degree_2,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Support Vector Machines_poly_degree_2,Train,Unbalanced,8037,186,0,7851,0,186,0.0,0.5
Support Vector Machines_poly_degree_2,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Support Vector Machines_poly_degree_2,Train,Unbalanced,8037,186,0,7851,0,186,0.0,0.5
Support Vector Machines_poly_degree_2,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Gradient Boosting_n_estimators_100_learn_rate_0.1,Train,Unbalanced,8037,186,42,7848,3,144,0.4564315352697096,0.6127121673425617
Gradient Boosting_n_estimators_100_learn_rate_0.1,Test,Unbalanced,2679,62,12,2615,2,50,0.08450704225352113,0.5963920766206072
Gradient Boosting_n_estimators_100_learn_rate_0.1,Train,Unbalanced,8037,186,44,7846,5,142,0.45454545454545453,0.6179611391193232
Gradient Boosting_n_estimators_100_learn_rate_0.1,Test,Unbalanced,2679,62,10,2617,0,52,0.08108108108108107,0.5806451612903226
Gradient Boosting_n_estimators_100_learn_rate_0.1,Train,Unbalanced,8037,186,35,7847,4,151,0.46090534979423875,0.5938312768868564
Gradient Boosting_n_estimators_100_learn_rate_0.1,Test,Unbalanced,2679,62,19,2616,1,43,0.028169014084507043,0.653034747987723
Gradient Boosting_n_estimators_100_learn_rate_0.1,Train,Unbalanced,8037,186,41,7848,3,145,0.43514644351464427,0.610023995299551
Gradient Boosting_n_estimators_100_learn_rate_0.1,Test,Unbalanced,2679,62,13,2615,2,49,0.0588235294117647,0.6044565927496395
Gradient Boosting_n_estimators_200_learn_rate_0.05,Train,Unbalanced,8037,186,30,7849,2,156,0.35398230088495575,0.5805177889810627
Gradient Boosting_n_estimators_200_learn_rate_0.05,Test,Unbalanced,2679,62,12,2617,0,50,0.08450704225352113,0.5967741935483871
Gradient Boosting_n_estimators_200_learn_rate_0.05,Train,Unbalanced,8037,186,29,7851,0,157,0.2616822429906542,0.5779569892473119
Gradient Boosting_n_estimators_200_learn_rate_0.05,Test,Unbalanced,2679,62,13,2615,2,49,0.03125,0.6044565927496395
Gradient Boosting_n_estimators_200_learn_rate_0.05,Train,Unbalanced,8037,186,32,7849,2,154,0.3090909090909091,0.5858941330670842
Gradient Boosting_n_estimators_200_learn_rate_0.05,Test,Unbalanced,2679,62,10,2617,0,52,0.0588235294117647,0.5806451612903226
Gradient Boosting_n_estimators_200_learn_rate_0.05,Train,Unbalanced,8037,186,35,7849,2,151,0.3684210526315789,0.5939586491961164
Gradient Boosting_n_estimators_200_learn_rate_0.05,Test,Unbalanced,2679,62,7,2617,0,55,0.0,0.5564516129032258
Gradient Boosting_n_estimators_300_learn_rate_0.01,Train,Unbalanced,8037,186,2,7851,0,184,0.05235602094240838,0.5053763440860215
Gradient Boosting_n_estimators_300_learn_rate_0.01,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Gradient Boosting_n_estimators_300_learn_rate_0.01,Train,Unbalanced,8037,186,2,7851,0,184,0.010695187165775402,0.5053763440860215
Gradient Boosting_n_estimators_300_learn_rate_0.01,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Gradient Boosting_n_estimators_300_learn_rate_0.01,Train,Unbalanced,8037,186,0,7851,0,186,0.05235602094240838,0.5
Gradient Boosting_n_estimators_300_learn_rate_0.01,Test,Unbalanced,2679,62,2,2617,0,60,0.0,0.5161290322580645
Gradient Boosting_n_estimators_300_learn_rate_0.01,Train,Unbalanced,8037,186,2,7851,0,184,0.021276595744680854,0.5053763440860215
Gradient Boosting_n_estimators_300_learn_rate_0.01,Test,Unbalanced,2679,62,0,2617,0,62,0.0,0.5
Linear Discriminant Analysis,Train,Balanced,558,186,94,331,41,92,0.5856697819314642,0.6975806451612904
Linear Discriminant Analysis,Test,Balanced,2679,62,24,2394,223,38,0.1553398058252427,0.6509423496493153
Linear Discriminant Analysis,Train,Balanced,558,186,111,332,40,75,0.6587537091988132,0.7446236559139784
Linear Discriminant Analysis,Test,Balanced,2679,62,37,2273,344,25,0.16704288939051917,0.7326629851960507
Linear Discriminant Analysis,Train,Balanced,558,186,95,328,44,91,0.5846153846153846,0.6962365591397849
Linear Discriminant Analysis,Test,Balanced,2679,62,34,2256,361,28,0.1487964989059081,0.7052214429228246
Linear Discriminant Analysis,Train,Balanced,558,186,93,336,36,93,0.5904761904761905,0.7016129032258064
Linear Discriminant Analysis,Test,Balanced,2679,62,33,2377,240,29,0.1970149253731343,0.7202750009244764
